sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:37:15_065 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
187,154243346,0.921232,-0.018617,-0.029307,0.387461,-0.069276,-0.669378,0.230755
188,154260013,0.921240,-0.018698,-0.029348,0.387436,-0.065995,-0.718056,0.251788
189,154276680,0.921244,-0.018889,-0.029563,0.387400,0.049735,-0.720752,0.193855
190,154293347,0.921288,-0.018808,-0.029407,0.387311,0.080173,-0.708829,0.186131
191,154310014,0.921393,-0.018587,-0.028999,0.387102,-0.057766,-0.604964,0.186448
192,154326681,0.921443,-0.018657,-0.028655,0.387007,-0.163302,-0.529805,0.247860
193,154343348,0.921406,-0.019058,-0.028456,0.387089,-0.177946,-0.677379,0.284522
194,154360015,0.921317,-0.019308,-0.028443,0.387291,-0.129333,-0.799681,0.300942
195,154376682,0.921255,-0.019438,-0.028728,0.387410,-0.056403,-0.772773,0.299474
196,154393349,0.921237,-0.019422,-0.029065,0.387430,0.079467,-0.676813,0.228304
197,154410016,0.921248,-0.019229,-0.028688,0.387440,-0.031990,-0.570968,0.195700
198,154426683,0.921205,-0.019146,-0.028636,0.387550,-0.188066,-0.559023,0.284656
199,154443350,0.921128,-0.019599,-0.029018,0.387682,-0.015774,-0.564117,0.219897
200,154460017,0.921099,-0.019711,-0.028899,0.387754,0.046838,-0.619212,0.193076
201,154476684,0.921142,-0.019883,-0.028780,0.387653,-0.066138,-0.606117,0.260170
202,154493351,0.921186,-0.020135,-0.028691,0.387540,0.006118,-0.610174,0.212753
203,154510018,0.921194,-0.020211,-0.028381,0.387539,-0.098273,-0.640146,0.274869
204,154526685,0.921149,-0.020502,-0.028401,0.387631,-0.055101,-0.643980,0.264858
205,154543352,0.921119,-0.020714,-0.028395,0.387690,-0.004701,-0.720879,0.250101
206,154560019,0.921154,-0.020762,-0.028335,0.387609,-0.003836,-0.732641,0.225921
207,154576686,0.921251,-0.020655,-0.028285,0.387388,-0.085766,-0.657890,0.243937
208,154593353,0.921319,-0.020646,-0.028394,0.387220,-0.124630,-0.651432,0.280437
209,154610020,0.921297,-0.020692,-0.028654,0.387252,-0.118108,-0.638128,0.259741
210,154626687,0.921217,-0.020706,-0.028919,0.387421,-0.104193,-0.701401,0.229058
211,154643354,0.921151,-0.020780,-0.029347,0.387542,-0.052906,-0.726732,0.246767
212,154660021,0.921156,-0.020715,-0.029750,0.387501,0.028771,-0.670884,0.223053
213,154676688,0.921205,-0.020663,-0.029883,0.387377,0.044868,-0.599817,0.185185
214,154693355,0.921257,-0.020665,-0.029789,0.387260,-0.017398,-0.551674,0.232079
215,154710022,0.921272,-0.020880,-0.029690,0.387221,-0.017193,-0.596580,0.284725
216,154726689,0.921325,-0.020923,-0.029567,0.387102,-0.019433,-0.669248,0.291572
217,154743356,0.921418,-0.021041,-0.029522,0.386879,-0.032749,-0.575231,0.244547
218,154760023,0.921529,-0.021133,-0.029385,0.386619,-0.017232,-0.547501,0.224181
219,154776690,0.921576,-0.021359,-0.029075,0.386519,-0.072671,-0.522853,0.226039
220,154793357,0.921538,-0.021715,-0.028977,0.386596,-0.061530,-0.622158,0.294777
221,154810024,0.921500,-0.021921,-0.028895,0.386681,0.016141,-0.686462,0.261336
222,154826691,0.921533,-0.021955,-0.028746,0.386611,-0.002303,-0.645805,0.242046
223,154843358,0.921617,-0.022055,-0.028681,0.386411,0.013377,-0.567472,0.219601
224,154860025,0.921747,-0.022065,-0.028316,0.386127,-0.023156,-0.572477,0.215325
225,154876692,0.921829,-0.022178,-0.028057,0.385943,-0.108025,-0.542698,0.326358
226,154893359,0.921871,-0.022358,-0.027982,0.385838,-0.060479,-0.629236,0.258325
227,154910026,0.921890,-0.022400,-0.027868,0.385799,-0.046321,-0.584423,0.230326
228,154926693,0.921915,-0.022443,-0.027735,0.385745,-0.044747,-0.571496,0.202691
229,154943360,0.921942,-0.022544,-0.027527,0.385691,-0.116031,-0.549680,0.265264
230,154960027,0.921943,-0.022759,-0.027507,0.385677,-0.084581,-0.616850,0.269139
231,154976694,0.921956,-0.022919,-0.027394,0.385644,-0.073812,-0.593319,0.268696
232,154993361,0.921970,-0.023220,-0.027476,0.385587,-0.007435,-0.657932,0.284328
233,155010028,0.922057,-0.023324,-0.027483,0.385371,0.068170,-0.620926,0.228610
234,155026695,0.922192,-0.023276,-0.027237,0.385069,0.012665,-0.515689,0.249125
235,155043362,0.922302,-0.023262,-0.026945,0.384828,-0.059874,-0.477409,0.245392
236,155060029,0.922345,-0.023452,-0.026628,0.384735,-0.123517,-0.456432,0.234366
237,155076696,0.922346,-0.023813,-0.026574,0.384714,-0.111212,-0.562502,0.238690
238,155093363,0.922342,-0.024194,-0.026574,0.384699,0.010262,-0.634396,0.226721
239,155110030,0.922370,-0.024400,-0.026573,0.384619,0.053809,-0.656977,0.228330
240,155126697,0.922437,-0.024446,-0.026356,0.384471,0.023408,-0.630678,0.241142
241,155143364,0.922511,-0.024394,-0.026063,0.384317,-0.085052,-0.511031,0.266724
242,155160031,0.922515,-0.024568,-0.025944,0.384304,-0.086125,-0.542528,0.255724
243,155176698,0.922500,-0.024801,-0.025861,0.384331,-0.042231,-0.592076,0.255019
244,155193365,0.922510,-0.024976,-0.025747,0.384303,0.002517,-0.599012,0.241144
245,155210032,0.922556,-0.025039,-0.025544,0.384202,-0.021509,-0.621935,0.240405
246,155226699,0.922625,-0.025002,-0.025352,0.384053,-0.078137,-0.583717,0.252707
247,155243366,0.922626,-0.024922,-0.025208,0.384063,-0.136500,-0.535736,0.234288
248,155260033,0.922586,-0.025051,-0.025306,0.384144,-0.119500,-0.538239,0.220931
249,155276700,0.922565,-0.025276,-0.025463,0.384171,-0.007656,-0.575410,0.224247
250,155293367,0.922613,-0.025409,-0.025460,0.384047,0.020027,-0.631209,0.285341
251,155310034,0.922719,-0.025418,-0.025405,0.383796,-0.002302,-0.597736,0.279823
252,155326701,0.922801,-0.025272,-0.025220,0.383619,-0.078003,-0.523164,0.274549
253,155343368,0.922780,-0.025277,-0.025126,0.383676,-0.158413,-0.504184,0.288976
254,155360035,0.922702,-0.025444,-0.025369,0.383836,-0.043556,-0.563807,0.220183
255,155376702,0.922670,-0.025436,-0.025417,0.383911,0.018249,-0.557305,0.210780
256,155393369,0.922687,-0.025369,-0.025453,0.383871,0.004005,-0.494311,0.200768
257,155410036,0.922736,-0.025379,-0.025325,0.383763,-0.008144,-0.488008,0.217457
258,155426703,0.922746,-0.025375,-0.025180,0.383747,-0.062544,-0.475269,0.249465
259,155443370,0.922758,-0.025430,-0.025091,0.383720,-0.105976,-0.519076,0.301126
260,155460037,0.922771,-0.025488,-0.025159,0.383681,-0.071647,-0.515091,0.308049
261,155476704,0.922809,-0.025546,-0.025242,0.383580,-0.005877,-0.512586,0.268168
262,155493371,0.922880,-0.025581,-0.025213,0.383409,0.016478,-0.456538,0.253954
263,155510038,0.922937,-0.025503,-0.024980,0.383293,-0.068191,-0.420501,0.240172
264,155526705,0.922905,-0.025676,-0.024886,0.383363,-0.136719,-0.420908,0.287775
265,155543372,0.922800,-0.025901,-0.025089,0.383589,-0.019362,-0.518141,0.233951
266,155560039,0.922733,-0.026014,-0.025103,0.383740,0.059685,-0.509747,0.219464
267,155576706,0.922728,-0.026002,-0.025008,0.383761,0.044833,-0.490798,0.245856
268,155593373,0.922751,-0.026020,-0.024717,0.383721,-0.048655,-0.445884,0.238860
269,155610040,0.922741,-0.026134,-0.024504,0.383752,-0.133565,-0.441277,0.278734
270,155626707,0.922675,-0.026364,-0.024534,0.383893,-0.100498,-0.526785,0.267355
271,155643374,0.922637,-0.026496,-0.024638,0.383969,-0.023091,-0.563084,0.242172
272,155660041,0.922667,-0.026600,-0.024816,0.383879,0.049260,-0.522984,0.233297
273,155676708,0.922744,-0.026535,-0.024736,0.383704,0.015997,-0.446921,0.233970
274,155693375,0.922784,-0.026595,-0.024639,0.383609,-0.046256,-0.428096,0.252185
275,155710042,0.922760,-0.026735,-0.024633,0.383656,-0.008641,-0.473574,0.263404
276,155726709,0.922743,-0.026733,-0.024500,0.383707,0.003984,-0.468330,0.259622
277,155743376,0.922725,-0.026760,-0.024314,0.383759,-0.088727,-0.385007,0.255550
278,155760043,0.922688,-0.027016,-0.024238,0.383836,-0.048044,-0.409507,0.263358
279,155776710,0.922638,-0.027234,-0.024033,0.383952,-0.052382,-0.410510,0.258548
