sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:38:19_179 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
178,218204018,0.926808,0.226301,0.006601,0.299617,-0.142584,-0.712841,0.238732
179,218220685,0.926803,0.226269,0.006662,0.299656,-0.165110,-0.687689,0.242552
180,218237352,0.926812,0.226262,0.006719,0.299634,-0.127681,-0.645087,0.210702
181,218254019,0.926807,0.226246,0.006805,0.299660,-0.175357,-0.635600,0.250709
182,218270686,0.926812,0.226204,0.006849,0.299674,-0.170305,-0.630854,0.207867
183,218287353,0.926822,0.226135,0.006867,0.299694,-0.190948,-0.619491,0.239627
184,218304020,0.926828,0.226006,0.006813,0.299774,-0.167784,-0.631631,0.225876
185,218320687,0.926839,0.225848,0.006756,0.299860,-0.151168,-0.716568,0.198339
186,218337354,0.926839,0.225792,0.006775,0.299902,-0.154471,-0.752606,0.212863
187,218354021,0.926842,0.225794,0.006845,0.299891,-0.167055,-0.727641,0.233942
188,218370688,0.926836,0.225800,0.006935,0.299903,-0.148274,-0.714544,0.257135
189,218387355,0.926846,0.225759,0.006992,0.299900,-0.150139,-0.658766,0.233029
190,218404022,0.926856,0.225692,0.007143,0.299917,-0.133885,-0.652128,0.234662
191,218420689,0.926885,0.225550,0.007204,0.299934,-0.193152,-0.683743,0.223072
192,218437356,0.926901,0.225459,0.007252,0.299950,-0.194219,-0.660745,0.240747
193,218454023,0.926917,0.225340,0.007296,0.299990,-0.159951,-0.678183,0.211859
194,218470690,0.926940,0.225284,0.007402,0.299958,-0.160491,-0.656374,0.247868
195,218487357,0.926950,0.225177,0.007477,0.300007,-0.134206,-0.627820,0.247713
196,218504024,0.926974,0.225018,0.007554,0.300048,-0.157010,-0.694479,0.246407
197,218520691,0.926967,0.224930,0.007602,0.300136,-0.161415,-0.682247,0.239670
198,218537358,0.926979,0.224809,0.007611,0.300188,-0.140459,-0.657532,0.223350
199,218554025,0.926979,0.224779,0.007623,0.300211,-0.168192,-0.674625,0.206381
200,218570692,0.926977,0.224801,0.007692,0.300197,-0.128266,-0.599252,0.221292
201,218587359,0.927003,0.224724,0.007707,0.300175,-0.123372,-0.602781,0.265525
202,218604026,0.927019,0.224604,0.007695,0.300215,-0.136285,-0.687034,0.220093
203,218620693,0.926994,0.224640,0.007739,0.300266,-0.131869,-0.695407,0.226460
204,218637360,0.926964,0.224656,0.007765,0.300346,-0.263507,-0.676477,0.242468
205,218654027,0.926985,0.224512,0.007702,0.300389,-0.064023,-0.689546,0.266655
206,218670694,0.926995,0.224434,0.007893,0.300414,-0.092193,-0.648417,0.227327
207,218687361,0.927020,0.224362,0.008046,0.300383,-0.093538,-0.647881,0.202239
208,218704028,0.927034,0.224449,0.008208,0.300271,-0.160989,-0.596148,0.223733
209,218720695,0.927038,0.224470,0.008375,0.300240,-0.206417,-0.569538,0.251313
210,218737362,0.927060,0.224390,0.008478,0.300230,-0.249401,-0.609751,0.254414
211,218754029,0.927096,0.224258,0.008561,0.300213,-0.144347,-0.614426,0.252254
212,218770696,0.927149,0.224044,0.008602,0.300208,-0.120928,-0.605472,0.234550
213,218787363,0.927182,0.223884,0.008675,0.300223,-0.093434,-0.621895,0.256145
214,218804030,0.927215,0.223646,0.008693,0.300299,-0.138815,-0.678379,0.196886
215,218820697,0.927206,0.223633,0.008801,0.300333,-0.152555,-0.671287,0.199887
216,218837364,0.927210,0.223557,0.008848,0.300377,-0.189169,-0.645463,0.252851
217,218854031,0.927237,0.223482,0.008881,0.300347,-0.148710,-0.643172,0.242717
218,218870698,0.927252,0.223396,0.008931,0.300365,-0.146198,-0.595992,0.256774
219,218887365,0.927285,0.223231,0.008967,0.300382,-0.116558,-0.601456,0.263003
220,218904032,0.927318,0.223089,0.009035,0.300386,-0.104565,-0.619001,0.240705
221,218920699,0.927333,0.223008,0.009156,0.300397,-0.121572,-0.586894,0.280123
222,218937366,0.927342,0.222871,0.009281,0.300464,-0.160559,-0.584661,0.241655
223,218954033,0.927382,0.222620,0.009266,0.300528,-0.127812,-0.666570,0.229907
224,218970700,0.927403,0.222489,0.009330,0.300559,-0.091920,-0.597997,0.250147
225,218987367,0.927436,0.222289,0.009300,0.300604,-0.128627,-0.629544,0.264359
226,219004034,0.927464,0.222175,0.009319,0.300602,-0.203167,-0.603391,0.233220
227,219020701,0.927490,0.222069,0.009367,0.300599,-0.107885,-0.563537,0.225096
228,219037368,0.927500,0.221973,0.009482,0.300636,-0.161898,-0.567028,0.261690
229,219054035,0.927516,0.221842,0.009538,0.300680,-0.095809,-0.584411,0.227788
230,219070702,0.927510,0.221761,0.009604,0.300759,-0.126299,-0.568748,0.218877
231,219087369,0.927519,0.221617,0.009630,0.300835,-0.130577,-0.582965,0.227457
232,219104036,0.927537,0.221477,0.009642,0.300882,-0.141751,-0.638133,0.220716
233,219120703,0.927549,0.221394,0.009685,0.300905,-0.152815,-0.601464,0.257079
234,219137370,0.927575,0.221294,0.009754,0.300895,-0.154870,-0.588425,0.247610
